Country,Number
Argentina,1
Australia,31
Austria,7
Bangladesh,1
Belgium,1
Brazil,17
Canada,25
Chile,6
China,38
Colombia,2
Cyprus,1
Czech Republic,9
Denmark,6
Egypt,3
Estonia,2
Finland,9
France,28
Germany,39
Ghana,1
Greece,7
Hong Kong,6
Hungary,6
Iceland,1
India,17
Indonesia,1
Iran,8
Israel,6
Italy,34
Japan,41
Jordan,2
Kenya,1
Lativia,1
Lebanon,1
Lithuania,1
Luxembourg,1
Macau,1
Malaysia,5
Mexico,2
Morocco,1
Netherlands,13
New Zealand,7
Nigeria,1
Norway,4
Oman,1
Pakistan,2
Poland,7
Portugal,7
Qatar,1
Republic of Ireland,9
Romania,4
Russian Federation,13
Saudi Arabia,3
Serbia,1
Singapore,2
Slovakia,2
Slovenia,2
South Africa,6
South Korea,24
Spain,25
Sweden,11
Switzerland,10
Taiwan,24
Thailand,7
Turkey,11
Uganda,1
Ukraine,2
United Arab Emirates,2
United Kingdom,78
United States of America,161
